time,open,high,low,close
2026-07-17 16:15:00,1.92829,1.92856,1.92748,1.92792
2026-07-17 16:30:00,1.92783,1.92835,1.92738,1.92832
2026-07-17 16:45:00,1.92824,1.92882,1.92794,1.9287
2026-07-17 17:00:00,1.92864,1.92915,1.92788,1.92809
2026-07-17 17:15:00,1.92802,1.92802,1.92719,1.92754
2026-07-17 17:30:00,1.92748,1.92811,1.92736,1.92759
2026-07-17 17:45:00,1.92767,1.92778,1.92697,1.92703
2026-07-17 18:00:00,1.92713,1.92751,1.92617,1.92705
2026-07-17 18:15:00,1.9272,1.92861,1.92688,1.92771
2026-07-17 18:30:00,1.92762,1.92846,1.92758,1.92839
2026-07-17 18:45:00,1.92831,1.92831,1.92741,1.92746
2026-07-17 19:00:00,1.92761,1.92916,1.92761,1.92842
2026-07-17 19:15:00,1.92855,1.92856,1.92687,1.92741
2026-07-17 19:30:00,1.92734,1.9282,1.92719,1.92811
2026-07-17 19:45:00,1.92797,1.92838,1.92787,1.92813
2026-07-17 20:00:00,1.92817,1.92818,1.92737,1.92788
2026-07-17 20:15:00,1.9279,1.92806,1.92733,1.92738
2026-07-17 20:30:00,1.92745,1.92745,1.92653,1.92655
2026-07-17 20:45:00,1.92654,1.92698,1.92615,1.92692
2026-07-17 21:00:00,1.92684,1.92787,1.92675,1.92759
2026-07-17 21:15:00,1.92769,1.9287,1.92769,1.92832
2026-07-17 21:30:00,1.92824,1.92824,1.92681,1.9269
2026-07-17 21:45:00,1.92702,1.92725,1.92617,1.9267
2026-07-17 22:00:00,1.92664,1.92696,1.92636,1.92689
2026-07-17 22:15:00,1.92679,1.92696,1.92605,1.9261
2026-07-17 22:30:00,1.92615,1.92716,1.92576,1.92714
2026-07-17 22:45:00,1.92706,1.92763,1.92671,1.92719
2026-07-17 23:00:00,1.92701,1.92772,1.92698,1.92724
2026-07-17 23:15:00,1.92718,1.9277,1.92676,1.92717
2026-07-17 23:30:00,1.92716,1.92871,1.92705,1.92864
2026-07-17 23:45:00,1.92841,1.92904,1.92702,1.92757
2026-07-18 00:00:00,1.92768,1.9277,1.92675,1.92702
2026-07-18 00:15:00,1.92718,1.92766,1.92675,1.92725
2026-07-18 00:30:00,1.92719,1.92755,1.92656,1.92682
2026-07-18 00:45:00,1.92672,1.92688,1.92571,1.92579
2026-07-18 01:00:00,1.92591,1.92658,1.92555,1.92622
2026-07-18 01:15:00,1.92609,1.92653,1.92603,1.92635
2026-07-18 01:30:00,1.92631,1.927,1.92569,1.92619
2026-07-18 01:45:00,1.92615,1.92619,1.92509,1.92516
2026-07-18 02:00:00,1.92527,1.92583,1.92495,1.92542
2026-07-18 02:15:00,1.92549,1.92588,1.92504,1.9254
2026-07-18 02:30:00,1.92551,1.92641,1.92551,1.92634
2026-07-18 02:45:00,1.9263,1.92674,1.92614,1.9267
2026-07-18 03:00:00,1.92664,1.92727,1.92658,1.92695
2026-07-18 03:15:00,1.9269,1.92696,1.92615,1.92645
2026-07-18 03:30:00,1.9264,1.9266,1.92618,1.92655
2026-07-18 03:45:00,1.92645,1.92705,1.92617,1.92702
2026-07-18 04:00:00,1.92698,1.92703,1.92658,1.92694
2026-07-18 04:15:00,1.92687,1.92705,1.92654,1.92684
2026-07-18 04:30:00,1.92685,1.92722,1.92661,1.9272
2026-07-18 04:45:00,1.92715,1.92715,1.92668,1.92682
2026-07-18 05:00:00,1.92677,1.92718,1.92668,1.92716
2026-07-18 05:15:00,1.92712,1.92745,1.92688,1.92693
2026-07-18 05:30:00,1.927,1.9272,1.92662,1.92668
2026-07-18 05:45:00,1.92678,1.92705,1.92647,1.92664
2026-07-18 06:00:00,1.92668,1.92733,1.92652,1.92702
2026-07-18 06:15:00,1.92704,1.92737,1.92681,1.92708
2026-07-18 06:30:00,1.92704,1.92754,1.92682,1.92753
2026-07-18 06:45:00,1.9275,1.9275,1.92685,1.92692
2026-07-18 07:00:00,1.92702,1.92702,1.9257,1.92661
2026-07-18 07:15:00,1.92655,1.92664,1.92638,1.92654
2026-07-18 07:30:00,1.92654,1.92664,1.92642,1.92662
2026-07-18 07:45:00,1.92659,1.92661,1.92639,1.92654
2026-07-18 08:00:00,1.92651,1.92701,1.92622,1.92655
2026-07-18 08:15:00,1.92651,1.92664,1.9263,1.92652
2026-07-18 08:30:00,1.92653,1.92673,1.92619,1.92646
2026-07-18 08:45:00,1.92651,1.92662,1.92648,1.92655
2026-07-18 09:00:00,1.92652,1.92688,1.9264,1.92647
2026-07-18 09:15:00,1.92646,1.9266,1.92636,1.92652
2026-07-18 09:30:00,1.9265,1.92661,1.92637,1.92642
2026-07-18 09:45:00,1.92647,1.92661,1.92636,1.92653
