time,open,high,low,close
2026-07-17 16:15:00,1.63889,1.63906,1.63797,1.63835
2026-07-17 16:30:00,1.6383,1.6387,1.63792,1.63867
2026-07-17 16:45:00,1.63863,1.63933,1.63839,1.63887
2026-07-17 17:00:00,1.63899,1.63903,1.63814,1.63848
2026-07-17 17:15:00,1.63844,1.63856,1.63801,1.63832
2026-07-17 17:30:00,1.63828,1.63872,1.638,1.63867
2026-07-17 17:45:00,1.63856,1.63893,1.63831,1.63889
2026-07-17 18:00:00,1.63884,1.639,1.63817,1.63894
2026-07-17 18:15:00,1.63887,1.63994,1.63857,1.63964
2026-07-17 18:30:00,1.63952,1.64092,1.63952,1.64088
2026-07-17 18:45:00,1.6408,1.6409,1.64043,1.6405
2026-07-17 19:00:00,1.64059,1.64201,1.64054,1.6412
2026-07-17 19:15:00,1.6413,1.6413,1.64032,1.64055
2026-07-17 19:30:00,1.64053,1.64096,1.64016,1.6409
2026-07-17 19:45:00,1.64079,1.64117,1.64075,1.64089
2026-07-17 20:00:00,1.64097,1.64098,1.64044,1.64078
2026-07-17 20:15:00,1.64079,1.64079,1.63998,1.64004
2026-07-17 20:30:00,1.64012,1.64018,1.63963,1.63979
2026-07-17 20:45:00,1.63969,1.64005,1.63921,1.63924
2026-07-17 21:00:00,1.63929,1.64005,1.63924,1.63982
2026-07-17 21:15:00,1.63989,1.64039,1.63979,1.64
2026-07-17 21:30:00,1.63997,1.63997,1.63911,1.63941
2026-07-17 21:45:00,1.63936,1.63938,1.6384,1.6388
2026-07-17 22:00:00,1.63876,1.63953,1.63864,1.63923
2026-07-17 22:15:00,1.63935,1.63979,1.63919,1.63932
2026-07-17 22:30:00,1.63936,1.63938,1.63876,1.63935
2026-07-17 22:45:00,1.63928,1.63984,1.63907,1.63978
2026-07-17 23:00:00,1.63964,1.64023,1.63964,1.63979
2026-07-17 23:15:00,1.63984,1.63984,1.63863,1.63918
2026-07-17 23:30:00,1.63914,1.63994,1.63892,1.63983
2026-07-17 23:45:00,1.63953,1.64026,1.63885,1.63893
2026-07-18 00:00:00,1.63906,1.63906,1.63794,1.63891
2026-07-18 00:15:00,1.63882,1.63921,1.63852,1.63861
2026-07-18 00:30:00,1.63877,1.63913,1.63845,1.63891
2026-07-18 00:45:00,1.63879,1.63909,1.63845,1.63873
2026-07-18 01:00:00,1.63859,1.63917,1.63811,1.63877
2026-07-18 01:15:00,1.63863,1.63903,1.63831,1.63838
2026-07-18 01:30:00,1.63842,1.6389,1.63778,1.63844
2026-07-18 01:45:00,1.6384,1.63861,1.638,1.63804
2026-07-18 02:00:00,1.6381,1.63847,1.63771,1.63777
2026-07-18 02:15:00,1.63787,1.63787,1.63708,1.63743
2026-07-18 02:30:00,1.63755,1.63818,1.63752,1.63796
2026-07-18 02:45:00,1.63801,1.63803,1.63768,1.63781
2026-07-18 03:00:00,1.63781,1.63797,1.63714,1.63753
