time,open,high,low,close
2026-07-17 16:15:00,162.41918,162.42519,162.3439,162.3538
2026-07-17 16:30:00,162.35554,162.40224,162.34385,162.39135
2026-07-17 16:45:00,162.39223,162.39223,162.16633,162.26019
2026-07-17 17:00:00,162.24393,162.28506,162.19179,162.20592
2026-07-17 17:15:00,162.21365,162.24252,162.16898,162.24072
2026-07-17 17:30:00,162.23802,162.25996,162.21256,162.25934
2026-07-17 17:45:00,162.25696,162.28294,162.23183,162.28013
2026-07-17 18:00:00,162.2685,162.37142,162.2685,162.36549
2026-07-17 18:15:00,162.35319,162.42377,162.34063,162.42223
2026-07-17 18:30:00,162.41951,162.41951,162.35397,162.37452
2026-07-17 18:45:00,162.36793,162.4059,162.36793,162.37584
2026-07-17 19:00:00,162.37939,162.44936,162.36124,162.44751
2026-07-17 19:15:00,162.4432,162.4527,162.42794,162.42957
2026-07-17 19:30:00,162.43076,162.45399,162.42739,162.43314
2026-07-17 19:45:00,162.43397,162.43397,162.3683,162.37397
2026-07-17 20:00:00,162.38322,162.38822,162.36354,162.38282
2026-07-17 20:15:00,162.38012,162.42565,162.37348,162.41858
2026-07-17 20:30:00,162.41954,162.42615,162.39516,162.40347
2026-07-17 20:45:00,162.3996,162.41532,162.36418,162.36726
2026-07-17 21:00:00,162.37035,162.37388,162.31497,162.3673
2026-07-17 21:15:00,162.36303,162.37031,162.33437,162.33542
2026-07-17 21:30:00,162.33738,162.35078,162.31736,162.32852
2026-07-17 21:45:00,162.32578,162.36778,162.31343,162.3644
2026-07-17 22:00:00,162.35445,162.37189,162.34306,162.36783
2026-07-17 22:15:00,162.36372,162.37455,162.32449,162.33014
2026-07-17 22:30:00,162.33894,162.39823,162.31297,162.39446
2026-07-17 22:45:00,162.38895,162.42082,162.38895,162.41575
2026-07-17 23:00:00,162.41212,162.43856,162.40614,162.41317
2026-07-17 23:15:00,162.4089,162.4497,162.4089,162.41818
2026-07-17 23:30:00,162.42184,162.44079,162.34828,162.35461
2026-07-17 23:45:00,162.35696,162.40501,162.35189,162.35464
