time,open,high,low,close
2026-07-17 16:15:00,1.40372,1.40372,1.40316,1.40337
2026-07-17 16:30:00,1.40333,1.40348,1.40319,1.4032
2026-07-17 16:45:00,1.40321,1.40337,1.40291,1.40318
2026-07-17 17:00:00,1.40312,1.40338,1.40289,1.40326
2026-07-17 17:15:00,1.40327,1.40338,1.40299,1.40311
2026-07-17 17:30:00,1.40308,1.40315,1.40277,1.40313
2026-07-17 17:45:00,1.40309,1.40309,1.40267,1.40286
2026-07-17 18:00:00,1.40287,1.40348,1.40275,1.4034
2026-07-17 18:15:00,1.40327,1.40379,1.40323,1.40337
2026-07-17 18:30:00,1.40334,1.40335,1.40307,1.40328
2026-07-17 18:45:00,1.40326,1.40326,1.40293,1.40311
2026-07-17 19:00:00,1.40306,1.40353,1.40306,1.40346
2026-07-17 19:15:00,1.40338,1.40347,1.40299,1.403
2026-07-17 19:30:00,1.40301,1.40354,1.40297,1.40351
2026-07-17 19:45:00,1.40347,1.4036,1.40308,1.40308
2026-07-17 20:00:00,1.40309,1.40345,1.40278,1.40279
2026-07-17 20:15:00,1.40279,1.40303,1.40266,1.40287
2026-07-17 20:30:00,1.40289,1.4034,1.40289,1.40338
2026-07-17 20:45:00,1.40335,1.4039,1.40326,1.40385
2026-07-17 21:00:00,1.40384,1.40405,1.40343,1.40353
2026-07-17 21:15:00,1.40354,1.40367,1.40323,1.40325
2026-07-17 21:30:00,1.40328,1.40335,1.40252,1.40269
2026-07-17 21:45:00,1.40264,1.40264,1.4021,1.40259
2026-07-17 22:00:00,1.40255,1.40267,1.40228,1.4026
2026-07-17 22:15:00,1.40256,1.40278,1.4023,1.40232
2026-07-17 22:30:00,1.40234,1.40259,1.40206,1.40257
2026-07-17 22:45:00,1.40249,1.4029,1.40242,1.40278
2026-07-17 23:00:00,1.40274,1.40274,1.40204,1.40204
2026-07-17 23:15:00,1.40205,1.40227,1.40145,1.40147
2026-07-17 23:30:00,1.40151,1.40205,1.40149,1.40172
2026-07-17 23:45:00,1.40172,1.40207,1.40088,1.40139
2026-07-18 00:00:00,1.40132,1.40132,1.40092,1.40119
2026-07-18 00:15:00,1.40111,1.4015,1.40073,1.40142
2026-07-18 00:30:00,1.40129,1.4018,1.40112,1.40118
2026-07-18 00:45:00,1.40128,1.40152,1.4009,1.40123
2026-07-18 01:00:00,1.4011,1.40143,1.40077,1.40092
2026-07-18 01:15:00,1.40095,1.40132,1.40082,1.4011
2026-07-18 01:30:00,1.40109,1.40172,1.40098,1.40172
2026-07-18 01:45:00,1.4017,1.40193,1.40155,1.40159
2026-07-18 02:00:00,1.40165,1.40179,1.40085,1.40087
2026-07-18 02:15:00,1.40091,1.401,1.4006,1.40067
2026-07-18 02:30:00,1.40072,1.401,1.40065,1.4009
2026-07-18 02:45:00,1.40091,1.40127,1.40091,1.40098
2026-07-18 03:00:00,1.40101,1.40152,1.4009,1.4015
2026-07-18 03:15:00,1.40148,1.40158,1.40125,1.4013
2026-07-18 03:30:00,1.40128,1.40161,1.40122,1.4015
2026-07-18 03:45:00,1.40151,1.40163,1.40133,1.40161
2026-07-18 04:00:00,1.40158,1.40166,1.40139,1.40151
2026-07-18 04:15:00,1.40149,1.40159,1.40117,1.40127
2026-07-18 04:30:00,1.40124,1.40148,1.40101,1.40147
2026-07-18 04:45:00,1.40144,1.40146,1.40093,1.40117
