time,open,high,low,close
2026-07-17 16:15:00,185.87185,185.92026,185.84073,185.88411
2026-07-17 16:30:00,185.8949,185.95993,185.86008,185.9572
2026-07-17 16:45:00,185.95065,185.96102,185.70453,185.80714
2026-07-17 17:00:00,185.79135,185.8131,185.69213,185.69704
2026-07-17 17:15:00,185.70344,185.71424,185.63531,185.7111
2026-07-17 17:30:00,185.70798,185.73987,185.68087,185.70116
2026-07-17 17:45:00,185.70912,185.76024,185.7049,185.73325
2026-07-17 18:00:00,185.73967,185.82419,185.73558,185.76308
2026-07-17 18:15:00,185.78895,185.81198,185.68945,185.80864
2026-07-17 18:30:00,185.80003,185.82671,185.75333,185.78673
2026-07-17 18:45:00,185.77385,185.82738,185.77385,185.78373
2026-07-17 19:00:00,185.78958,185.84584,185.78297,185.80545
2026-07-17 19:15:00,185.82109,185.86145,185.79146,185.85461
2026-07-17 19:30:00,185.85134,185.85811,185.77594,185.78029
2026-07-17 19:45:00,185.78625,185.814,185.75532,185.75941
2026-07-17 20:00:00,185.76604,185.76604,185.68672,185.75128
2026-07-17 20:15:00,185.74818,185.76044,185.66232,185.69194
2026-07-17 20:30:00,185.68852,185.69585,185.64354,185.66635
2026-07-17 20:45:00,185.65813,185.68299,185.53428,185.53769
2026-07-17 21:00:00,185.54417,185.57163,185.47605,185.57079
2026-07-17 21:15:00,185.56715,185.58707,185.53456,185.56067
2026-07-17 21:30:00,185.55628,185.63033,185.54597,185.5992
2026-07-17 21:45:00,185.60626,185.61686,185.54058,185.59913
2026-07-17 22:00:00,185.59472,185.66879,185.57924,185.61486
2026-07-17 22:15:00,185.6223,185.64117,185.60229,185.60883
2026-07-17 22:30:00,185.61919,185.62217,185.54375,185.57962
2026-07-17 22:45:00,185.57594,185.62729,185.55422,185.59671
2026-07-17 23:00:00,185.6073,185.65831,185.58566,185.65778
2026-07-17 23:15:00,185.65603,185.65603,185.5752,185.59184
2026-07-17 23:30:00,185.59882,185.63142,185.56911,185.6074
2026-07-17 23:45:00,185.60194,185.72553,185.59455,185.65545
